,Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure,Type 1,Type 2,Type 3,Type 4
0,0.30952380952380953,0.12,1.1004282383201132,0.46384615384615385,8,0.68625,1.7204526647934466,2.4144886363636364,3.94371306763924,31.5,12.763076923076921,15.616969074597126,13,U,H,T,V
0,0.1111111111111111,0.1,0.14951183190232095,0.11083333333333334,11,0.326,0.8367695819837939,3.749059829059829,4.9691199673149145,20.25,10.433333333333332,13.79684109651279,12,U,G,T,L
0,0.14285714285714285,0.07,0.2874178971794339,0.21904761904761905,4,0.27675,0.3419130756231052,2.36969696969697,4.046828050390936,31.5,7.104761904761904,9.371432984900238,21,U,G,T,L
0,0.1375,0.09,0.3736888844385677,0.22941176470588234,7,0.2203846153846154,0.5532018778730938,1.270775058275058,3.233415730989705,60.0,17.790588235294113,27.25486939763889,17,U,G,T,L
0,0.28846153846153844,0.11,0.24059906171207743,0.23055555555555557,9,0.43,0.8870315665183511,3.436062176165803,3.414080447941931,19.5,16.293333333333337,14.06644400901747,18,U,G,T,L
0,0.07142857142857142,0.08,0.2058589194978981,0.16899999999999998,6,0.17325,0.21718935965815164,2.462134502923977,4.394673113947896,31.5,12.224,20.030344979555395,20,U,G,T,L
0,0.03125,0.0,,,9,,,,,24.0,,,0,U,H,T,L
0,0.0,0.09,0.4143466566115021,0.3236206896551724,8,0.3129508196721311,0.40664212055276594,1.4002911993097498,1.7093688666839806,46.5,4.184655172413793,5.127899681367191,58,I,G,T,L
0,0.19230769230769232,0.11,0.2881493802864707,0.31222222222222223,8,0.24583333333333332,0.27567966077010264,3.507543103448276,5.270789440264659,19.5,9.315555555555557,13.495633377557272,18,U,G,T,L
0,0.5357142857142857,0.55,0.6198214028480877,0.6235714285714286,3,0.83025,1.3730192959967777,2.4279356060606063,3.6355094915471677,31.5,12.062857142857142,14.497454115263684,14,U,H,N,V
0,0.25,0.0,,,6,,,,,21.0,,,0,U,H,T,L
0,0.22826086956521738,0.23,0.2829639048157404,0.23399999999999999,6,0.5984090909090909,1.090024414452025,2.177970177970178,3.0511744507944356,34.5,12.615999999999998,10.878747827103737,15,U,G,N,L
0,0.47058823529411764,0.0,,,11,,,,,25.5,,,0,U,H,T,V
0,0.03571428571428571,0.28,0.27030622365283147,0.25636363636363635,4,0.7007407407407408,3.5809068377399917,1.8266806722689082,5.2468894193871005,42.0,29.232727272727274,50.59950930412451,11,U,G,N,L
0,0.26229508196721313,0.1,0.5146496728011063,0.3578571428571429,7,0.4276271186440678,0.9750425967406735,1.5940621843080032,2.792623906808277,45.75,12.302857142857144,15.004677951877555,14,U,G,T,L
0,0.5384615384615384,0.11,0.6764526851850894,0.5133333333333333,8,0.5466666666666666,0.8498576180834603,3.780172413793103,4.029370696099623,19.5,10.293333333333333,9.815349324040444,18,U,H,T,V
0,0.14705882352941177,0.2,1.1913356506086215,0.4652173913043478,7,0.5787878787878787,1.4746689407621238,2.8200619332006194,3.081781367319747,25.5,9.03478260869565,9.495333241107645,23,U,H,T,V
0,0.25,0.0,,,5,,,,,21.0,,,0,U,H,T,L
0,0.14130434782608695,0.13,0.3958711540239265,0.22470588235294117,9,0.24244444444444443,0.38685301152408336,2.202002861230329,4.760946546733262,34.5,20.59058823529412,32.5244385944224,17,U,G,T,L
0,0.15384615384615385,0.0,,,2,,,,,48.75,,,0,U,G,T,L
0,0.07575757575757576,0.45,0.7063939276015762,0.31733333333333336,5,0.10859375,0.3844099464691886,1.431007420091324,2.062502132726709,49.5,12.349333333333334,10.51400662155466,15,U,G,N,L
0,0.16129032258064516,0.2,0.2365825771046416,0.1635,4,0.33413793103448275,0.9161780754907052,3.3966153454637986,4.201393624566809,23.25,10.456,13.111103530575667,20,U,G,T,L
0,0.2413793103448276,0.38,0.45848664102675885,0.379,3,0.41888888888888887,0.5265002982929488,3.3531967721911857,5.929526313101337,21.75,22.984,31.476338626551428,10,U,H,N,L
0,0.578125,0.1,0.28433974556697295,0.2209090909090909,7,0.877,1.7217856608965487,3.2716814159292036,6.522903209098948,24.0,31.472727272727276,40.167544383720816,11,U,G,T,L
0,0.39473684210526316,0.19,0.1786940932078294,0.1726315789473684,4,0.7394444444444445,2.263462511216508,2.6675157690441536,3.701211912412397,28.5,17.307368421052633,20.97128217404439,19,U,G,T,L
0,0.058823529411764705,0.05,0.2683671969167476,0.11933333333333333,2,0.11933333333333333,0.2683671969167476,2.464233576642336,2.2264240366055756,12.75,6.752000000000002,6.100401860299275,15,U,G,T,L
0,0.0,0.15,0.25938021365959135,0.25066666666666665,9,0.22111111111111112,0.2451143523982918,2.188235294117647,2.874567552145213,15.0,8.506666666666668,10.40894853113462,15,U,G,T,L
0,0.27710843373493976,0.06,0.2713034381565327,0.155,6,0.41604938271604935,1.226800390255426,1.2119429873364065,2.4717979615443224,62.25,19.768,22.051687161454716,10,U,G,T,L
0,0.3404255319148936,0.0,,,6,,,,,35.25,,,0,U,H,T,V
0,0.12931034482758622,0.18,0.2302550301673753,0.17592592592592593,5,0.3341071428571428,0.9592625515765445,1.7269059065934067,2.701487910674042,43.5,10.388148148148147,15.175862676540271,27,U,G,N,L
0,0.35384615384615387,0.17,1.1647329913660343,0.5716666666666667,4,1.6611111111111112,7.0664048693644625,1.566297526762643,2.2095221145861643,48.75,14.133333333333333,13.981581161109995,18,U,G,T,V
0,0.2708333333333333,0.14,0.21784481549112808,0.20181818181818184,7,0.7734782608695652,1.6179578587992465,2.106786133960047,3.6068292800342987,36.0,23.21090909090909,28.19938774319239,11,U,G,T,L
0,0.21621621621621623,0.0,,,12,,,,,27.75,,,0,U,H,T,L
0,0.025,0.06,0.11695453207592861,0.0931578947368421,2,0.08210526315789474,0.1265372051843837,2.374824561403509,3.2791727603792795,30.0,9.98526315789474,11.630123419819498,19,U,G,T,L
0,0.07894736842105263,0.14,0.32369213920826323,0.20862068965517241,9,0.1910810810810811,0.3016876952503457,2.4595513881228173,2.4312886922158143,28.5,8.255172413793103,7.484295281592581,29,U,G,T,L
0,0.08333333333333333,0.09,0.26712570140455816,0.1768421052631579,9,0.17,0.24894061253927327,1.9668109668109666,2.9130620424657496,18.0,5.648421052631579,7.691468045942489,19,U,G,T,L
0,0.2109375,0.11,0.6357285075361319,0.3341176470588236,9,1.7225396825396826,7.395062207911693,1.5348947550034509,3.6922509436320787,48.0,13.501176470588234,24.214384640733943,17,U,G,T,L
0,0.23076923076923078,0.32,0.4469891221968594,0.37583333333333335,2,0.37583333333333335,0.4469891221968594,3.28824200913242,2.956941530231627,19.5,9.601666666666667,8.634269268276352,24,U,H,N,L
0,0.08333333333333333,0.09,0.5127073634927728,0.22083333333333333,2,0.19205882352941178,0.45707090764645686,2.590482026143791,3.5759393760255795,27.0,8.893333333333333,11.916431719585196,24,U,G,T,L
0,0.14130434782608695,0.07,0.30800896709271924,0.24133333333333332,9,0.9979545454545454,3.790670665055076,2.0125786163522013,4.250398599336639,34.5,12.237333333333334,21.353447184627278,15,U,G,T,L
0,0.2692307692307692,0.15,1.4112008075742608,0.5689473684210526,9,1.3029729729729729,3.7623846345287633,2.654267170396203,4.077825854134582,29.25,11.016842105263157,13.449139192871778,19,U,H,T,V
0,0.425531914893617,0.23,0.8772628560340824,0.49086956521739133,3,1.062,2.6005354343778024,2.18319783197832,3.2910230139406838,35.25,9.250434782608695,12.157351490226684,23,U,H,N,V
0,0.234375,0.1,0.589981289599867,0.37727272727272726,9,0.36200000000000004,0.5442704702880602,3.13551912568306,4.155968070461946,24.0,8.058181818181819,10.150026805671212,22,U,H,T,L
0,0.68,0.12,0.6121226328498718,0.51,2,0.8126086956521739,1.3318006177260522,3.846086956521739,4.877643847422539,18.75,14.591111111111111,19.17376911883061,18,U,H,T,L
0,0.1111111111111111,0.05,0.17784217978053152,0.1481818181818182,8,0.2035483870967742,0.3775811573783733,1.5538770255944268,2.382026468865777,47.25,9.376969696969697,12.692245783560255,33,U,G,T,L
0,0.17164179104477612,0.1,0.155693865358096,0.13166666666666665,9,0.43015384615384616,0.6842045845078346,1.5122978931896132,2.0662197803318434,50.25,7.13,7.724952230047882,24,U,G,T,L
0,0.3333333333333333,0.14,0.539517917527614,0.424375,5,0.44,0.5039463312317144,4.197368421052632,6.324425399766136,18.0,10.92,16.27808997804513,16,U,G,T,L
0,0.10526315789473684,0.09,0.26857330032424825,0.21764705882352942,9,0.1947222222222222,0.45967992660179846,2.6810252281266775,3.7513136892938306,28.5,16.458823529411763,20.836977312686496,17,U,G,T,L
0,0.375,0.47,1.066173276041683,0.5863636363636363,5,0.42913043478260865,0.6592178061475806,2.00078339208774,3.1870433920536954,36.0,20.730909090909094,18.442950661185133,11,U,H,N,V
0,0.375,0.15,0.4860014772584914,0.29846153846153844,5,0.4573684210526316,0.707835238923794,2.590197368421053,7.241494437128698,30.0,11.006153846153845,17.367048078886608,13,U,G,T,L
0,0.02631578947368421,0.09,0.24767249880975212,0.16,9,0.17135135135135138,0.24082222768122002,2.4162705418986823,2.647836853720216,28.5,11.9248,11.77026943900039,25,U,G,T,L
0,0.2702702702702703,0.09,0.6134321866506905,0.3076190476190476,6,0.4642857142857143,1.0359062122954321,2.7042766151046407,3.3423248158773253,27.75,9.782857142857145,9.368684615706274,21,U,G,T,L
0,0.3220338983050847,0.0,,,2,,,,,44.25,,,0,U,H,T,V
0,0.6527777777777778,0.0,,,11,,,,,27.0,,,0,U,H,T,V
0,0.15789473684210525,0.07,0.0910691481435384,0.10461538461538461,8,0.17243243243243242,0.5431234144439824,1.3185840707964602,3.2225037656541815,57.0,16.400000000000002,27.08717777842498,13,U,G,T,L
0,0.013888888888888888,0.16,0.3172245227744261,0.24225806451612905,9,0.23085714285714284,0.3003759549060382,2.369708994708995,3.7086017691842765,27.0,5.70193548387097,8.342807448876682,31,U,G,T,L
0,0.09803921568627451,0.09,0.30645678466884235,0.27125,8,0.37204081632653063,0.4176770063489885,1.9681185907198702,2.99041580409842,38.25,11.516666666666666,15.736888446291232,24,U,G,T,L
0,0.4230769230769231,0.23,0.28550706771336803,0.23,6,0.8905882352941177,2.7185065103947834,1.899129479377958,2.3315590304688643,39.0,14.312727272727273,13.001553819894056,22,U,G,N,L
0,0.038461538461538464,0.19,0.15338404958360782,0.14466666666666667,9,0.15625,0.16844073915978774,4.0329692556634305,3.431336469001301,19.5,9.735999999999999,7.210671456746789,15,U,G,T,L
0,0.2826086956521739,0.34,1.5849482734183362,0.8588235294117647,10,0.7104761904761905,1.4521448832347141,3.6450564161407533,6.598765651816671,17.25,9.545882352941177,18.03585840028952,17,U,H,N,V
0,0.13157894736842105,0.06,0.8938143507279638,0.3447368421052632,8,0.32787610619469026,1.250948533918673,0.8591879229567932,1.7993154313308475,85.5,9.705263157894738,15.360278993567595,19,U,G,T,V
0,0.1125,0.0,,,13,,,,,30.0,,,0,U,H,T,L
0,0.14814814814814814,0.12,0.20111531125464474,0.19842105263157894,9,0.4816,1.558318217395493,3.39008547008547,4.754162186987078,20.25,9.225263157894737,12.388239659909113,19,U,G,T,L
0,0.3333333333333333,0.25,0.1556920036482285,0.252,2,0.252,0.1556920036482285,2.9794871794871787,4.192149556598277,9.0,9.296,13.079506616586627,10,U,G,N,L
0,0.09375,0.12,0.14374776489886693,0.12409090909090909,7,0.3317391304347826,0.7865969018438467,2.150612193903049,3.44347396477934,36.0,11.625454545454547,15.565561720937401,22,U,G,T,L
0,0.3333333333333333,0.29,0.5764680747244123,0.378235294117647,3,0.6504651162790698,1.1509146538387718,2.165829457364341,2.845675244973035,33.75,12.957647058823527,13.785212878938324,17,U,G,N,L
0,0.1702127659574468,0.0,,,7,,,,,35.25,,,0,U,H,T,L
0,0.3939393939393939,0.1,0.45238339414054274,0.3158823529411765,3,1.6322580645161289,4.549342596960151,3.022559561458992,6.022611273448518,24.75,10.202352941176471,19.870060244439298,17,U,G,T,L
0,0.12280701754385964,0.11,0.17862371832580914,0.16210526315789472,5,0.28267857142857145,0.49531804684714204,1.724800139033716,2.77963702273208,42.75,12.279999999999998,17.341946577910775,19,U,G,T,L
0,0.04032258064516129,0.07,0.2206613436273526,0.16285714285714284,20,0.32344262295081966,0.8283535582626169,1.5653485858403893,2.6749798930341937,46.5,9.916190476190476,14.773911626983043,21,U,G,T,L
0,0.203125,0.12,0.7985838759307327,0.40827586206896554,6,0.38483870967741934,0.776873524531683,2.5481212336051047,3.4607189034284693,24.0,9.735517241379311,12.904307582632715,29,U,H,T,V
0,0.19298245614035087,0.2,0.2778661248395229,0.173125,2,2.3607272727272726,9.3511856753758,1.6736934563021517,2.2975547921533708,42.75,16.435000000000002,11.804992164334545,16,U,G,T,L
0,0.06896551724137931,0.07,0.04347118114042439,0.07692307692307693,2,0.19296296296296298,0.31038208233890857,3.638785779097583,5.257315994030001,21.75,21.153846153846153,23.407974972382647,13,U,G,T,L
0,0.03125,0.15,0.18596943844253558,0.14681818181818182,3,0.1696774193548387,0.1830934892519437,2.8396374536111906,4.53435777946135,24.0,16.200000000000003,23.529301691619285,22,U,G,T,L
0,0.42857142857142855,0.61,2.0097872267903627,0.9691666666666667,2,0.9691666666666667,2.0097872267903627,1.9489489489489487,1.4505411650957167,10.5,4.326666666666666,3.220201386512491,12,I,H,N,V
0,0.09090909090909091,0.08,0.5563898785651091,0.36333333333333334,20,0.24285714285714285,0.4400811613457551,3.2744870305845923,4.223833419276466,16.5,11.113333333333335,12.684132774550426,12,U,G,T,L
0,0.04878048780487805,0.08,0.3824538993855282,0.2935897435897436,3,0.287,0.37981236933180035,2.1610687022900765,1.8874828173139246,30.75,5.647179487179488,5.008950908501567,39,I,G,T,L
0,0.6944444444444444,0.0,,,2,,,,,54.0,,,0,U,G,T,V
0,0.6551724137931034,0.0,,,15,,,,,21.75,,,0,U,H,T,V
0,0.1836734693877551,0.25,0.23555501694488515,0.18956521739130433,2,0.7082978723404255,1.5260610266857901,2.108832736015968,3.178109942479492,36.75,14.906086956521744,19.042561358257558,23,U,G,N,L
0,0.8048780487804879,0.12,0.33966650310758245,0.2333333333333333,5,2.371025641025641,5.002102607836552,2.539184604260526,2.5752416186011526,30.75,16.527619047619048,12.514923054003129,21,U,G,T,L
0,0.0,0.0,,,2,,,,,26.25,,,0,U,H,T,L
0,0.3018867924528302,0.13,0.35288099977187776,0.314,4,0.5335294117647059,0.887497207949212,1.7955182072829132,2.386319772343555,39.75,11.038400000000001,11.371217935354741,25,U,G,T,L
0,0.2441860465116279,0.25,0.757462024096732,0.41555555555555557,3,1.272439024390244,4.301326993200939,2.1963856944268922,2.7840357028234917,32.25,10.154074074074074,11.82770517414979,27,U,H,N,L
0,0.3333333333333333,0.18,0.8307129864965793,0.5007142857142857,7,0.44,0.7909487973314075,4.498737373737374,6.63402976964932,13.5,20.22857142857143,27.31557089256626,14,U,H,T,V
0,0.03125,0.17,0.41855192543544023,0.27,6,0.2564516129032258,0.4078770107691514,2.3759915388683233,2.7980904133338713,24.0,6.081379310344828,6.971505127577714,29,U,G,T,L
0,0.0,0.17,0.9129500567514353,0.3081632653061224,6,0.2986274509803922,0.8958013610345613,1.6325249398004815,1.6585358719760914,39.0,7.651836734693877,7.642495140514589,49,U,G,T,V
0,0.024390243902439025,0.25,0.21908730964902837,0.15297297297297296,7,0.15102564102564103,0.2135636829932871,1.9404134084985156,1.3298957753097687,30.75,8.51108108108108,5.606596206346683,37,I,G,T,L
0,0.12686567164179105,0.49,0.7537576889125384,0.5472222222222222,10,0.3618181818181818,0.7366471007537807,1.3858399664851277,2.242574472921968,50.25,15.511111111111113,13.774080043536541,18,U,H,N,L
0,0.3508771929824561,0.13,2.83647125956693,1.0227777777777778,8,0.7596363636363637,2.317259687197889,1.6897233201581026,1.9685735573479795,42.75,8.639999999999999,9.499550666065362,36,U,H,T,V
0,0.38461538461538464,0.07,0.27517127533452823,0.2476923076923077,9,0.48083333333333333,0.7795534767983565,4.067708333333333,4.365429469196931,19.5,18.57846153846154,16.24913220562555,13,U,G,T,L
0,0.42857142857142855,0.16,0.44387663893049756,0.3416666666666666,2,0.5373076923076924,0.7509277338988497,3.7327139152981847,3.3086943739161905,21.0,13.484444444444442,11.255700893963871,18,U,G,T,L
0,0.3617021276595745,0.09,1.020760274727391,0.5365384615384615,8,0.5911111111111111,0.9040771845122272,1.869373942470389,2.3199222640869266,35.25,10.975384615384616,10.613633960437577,26,U,H,T,V
0,0.4057971014492754,0.16,0.6390911515582108,0.29875,12,0.6905882352941177,1.2808682716859547,1.4193951165371808,2.202178060898957,51.75,7.63,10.738486655584849,24,U,G,T,V
0,0.13333333333333333,0.0,,,8,,,,,22.5,,,0,U,H,T,L
0,0.425,0.09,0.2117377083630999,0.20142857142857143,7,0.5976315789473684,1.1865563031720996,2.5175101214574895,2.976524668522944,30.0,8.643809523809526,8.706722963429167,21,U,G,T,L
0,0.21153846153846154,0.28,0.3596004727471865,0.34625,9,0.32875,0.35353263793737144,3.9152462121212124,4.466639111458996,19.5,30.369999999999997,15.54371898871052,8,U,G,N,L
0,0.04,0.11,0.32076781531505205,0.2259090909090909,4,0.22347826086956524,0.31360961104897994,3.445093167701864,4.309608538629854,18.75,12.515000000000002,15.274615652556806,22,U,G,T,L
0,0.24719101123595505,0.26,0.42514382593102856,0.3654545454545455,6,0.48804597701149427,1.727119418637179,1.1187899773962386,1.9352616126530708,66.75,22.887272727272727,15.08662791408941,11,U,G,N,L
0,0.16129032258064516,0.23,0.4310198316064995,0.3406666666666667,8,0.21172413793103448,0.3375761180355925,3.13173937892932,3.8620714671808636,23.25,15.797333333333333,16.225239362824585,15,U,G,T,L
